business_capital,business_location,business_sector,entity_type,business_registration_year,owner_age,owner_gender,owner_education_level,owner_business_experience,capital_source,turnover_2021,turnover_2022,turnover_2023,turnover_2024,business_status,turnover_growth,number_of_employees
194516,GASABO,Other Service Activities,INDIVIDUAL,2019,22,F,Diploma,8,Foreign Investment,474382,552651,643834,750061,Success,Increased,1
50000000,MUSANZE,Public Administration And Defence; Compulsory Social Security,PRIVATE CORPORATION,2022,40,M,Bachelor's Degree,5,Venture Capital,0,283155691,229408433,232806213,Success,Decreased,7
11549606,RUSIZI,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,COOPERATIVE,2022,35,M,Bachelor's Degree,5,Foreign Investment,0,14958988,20156217,15689387,Success,Increased,3
119938,MUSANZE,"Professional, Scientific And Technical Activities",INDIVIDUAL,2022,27,M,Master's Degree,6,Personal Savings,481741,594436,733494,905083,Success,Increased,3
3489724,BUGESERA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2022,49,F,Diploma,13,Bank Loan,5473078,5011277,4588441,4201283,Fail,Decreased,12
333984,KAMONYI,Financial And Insurance Activities,INDIVIDUAL,2021,43,F,Master's Degree,11,Family/Friends,268238,220602,181425,149206,Fail,Decreased,1
444072,NYANZA,Unclassified,INDIVIDUAL,2021,34,M,Primary,2,Venture Capital,2147380,1854651,2773937,1183898,Fail,Decreased,4
50000,NYAMAGABE,Other Service Activities,INDIVIDUAL,2021,37,F,Primary,3,Family/Friends,440643,361281,322506,137300,Fail,Decreased,2
52160,HUYE,Transportation And Storage,PARTNERSHIP,2020,41,M,Master's Degree,6,Government Grant,40446,38351,36365,34482,Fail,Stable,3
227418,NYAMASHEKE,Manufacturing,INDIVIDUAL,2019,50,F,Secondary,13,Personal Savings,102373,82623,66683,53818,Fail,Decreased,1
18659020,RUTSIRO,Activities Of Extraterritorial Organizations And Bodies,INDIVIDUAL,2021,44,M,Secondary,4,Foreign Investment,29422030,19697558,74580947,38132773,Success,Increased,3
50000000,NGORORERO,Transportation And Storage,INDIVIDUAL,2021,63,M,Master's Degree,2,Bank Loan,60699060,84457576,85917760,77587719,Success,Increased,5
394549,KICUKIRO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PARTNERSHIP,2022,34,F,Bachelor's Degree,7,Microfinance,1309521,1461277,1630619,1819586,Success,Increased,1
169397,KICUKIRO,Other Service Activities,INDIVIDUAL,2020,24,F,Bachelor's Degree,0,Bank Loan,70609,64686,59260,54289,Fail,Decreased,1
714953,MUSANZE,Other Service Activities,COOPERATIVE,2021,55,M,Master's Degree,0,Venture Capital,5611802,3003458,1780786,2164832,Fail,Decreased,2
103059,HUYE,Accommodation And Food Service Activities,COOPERATIVE,2021,31,M,Secondary,0,Personal Savings,202909,245665,297430,360103,Success,Increased,1
2094352,GISAGARA,"Agriculture, Forestry And Fishing",COOPERATIVE,2021,41,M,Secondary,4,Foreign Investment,164092898,41600170,129558627,66029930,Success,Decreased,6
5678098,NYABIHU,"Water Supply, Gas And Remediation Services",INDIVIDUAL,2021,27,M,Secondary,0,Inheritance,32062259,13134051,38637998,15692859,Fail,Decreased,2
50000000,NYARUGENGE,Financial And Insurance Activities,INDIVIDUAL,2022,49,M,PhD,4,Government Grant,0,233463866,449185534,710076018,Success,Increased,5
4303983,KAMONYI,Transportation And Storage,JOINT VENTURE,2022,24,M,Master's Degree,0,Crowdfunding,0,14279684,20021418,10916846,Fail,Decreased,2
209099,GATSIBO,Accommodation And Food Service Activities,INDIVIDUAL,2020,35,M,Master's Degree,6,Family/Friends,58747,61396,64164,67057,Fail,Stable,2
50000000,NYABIHU,"Professional, Scientific And Technical Activities",INDIVIDUAL,2022,31,F,Bachelor's Degree,5,Bank Loan,0,44621021,30374971,53451771,Success,Increased,4
4768775,NYARUGURU,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,48,M,PhD,0,Business Partner,0,6529453,16224878,7702134,Fail,Increased,2
50000,NYAGATARE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,48,M,Bachelor's Degree,4,Personal Savings,0,14229464,18183555,121200,Fail,Decreased,1
50000,NYAGATARE,Other Service Activities,INDIVIDUAL,2021,41,M,Primary,2,Personal Savings,109297,243908,208492,22400,Fail,Decreased,1
146716,NYAMASHEKE,Other Service Activities,PARTNERSHIP,2021,36,M,Diploma,7,Personal Savings,1000515,1059667,1122317,1188671,Success,Increased,4
18460394,KAYONZA,Other Service Activities,LIMITED LIABILITY COMPANY,2021,41,M,Diploma,17,Family/Friends,207556678,226307487,246752257,269044021,Success,Increased,17
308427,KIREHE,Other Service Activities,PRIVATE CORPORATION,2019,57,M,Diploma,9,Personal Savings,1158337,1365286,1609208,1896710,Success,Increased,3
50000,BUGESERA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2023,29,F,Diploma,10,Family/Friends,44498,40740,37299,34149,Fail,Decreased,3
172896,NGORORERO,Accommodation And Food Service Activities,PRIVATE CORPORATION,2020,36,M,Diploma,3,Government Grant,259146,299284,345639,399174,Success,Increased,1
47305078,KARONGI,Human Health And Social Work Activities,COOPERATIVE,2021,27,M,Master's Degree,0,Microfinance,36666157,45858019,95035243,104171415,Success,Increased,7
59123,HUYE,Other Service Activities,INDIVIDUAL,2021,22,F,Secondary,2,Microfinance,25164,21663,18649,16054,Fail,Decreased,1
210268,NYAMAGABE,Other Service Activities,INDIVIDUAL,2021,41,M,Master's Degree,5,Inheritance,666714,1109587,1918450,686607,Fail,Increased,1
50000000,NYAMAGABE,Public Administration And Defence; Compulsory Social Security,COOPERATIVE,2021,24,M,Secondary,1,Microfinance,54089583,39230669,83583118,129108378,Success,Increased,8
807334,NYARUGENGE,Other Service Activities,INDIVIDUAL,2021,28,M,PhD,0,Bank Loan,5086585,6312677,7834312,9722728,Success,Increased,6
2747384,RULINDO,"Arts, Entertainment And Recreation",JOINT VENTURE,2022,22,F,Bachelor's Degree,0,Venture Capital,0,7387955,4954768,5769586,Fail,Decreased,2
2131840,KIREHE,Manufacturing,INDIVIDUAL,2022,40,M,Master's Degree,12,Family/Friends,2912985,2449558,2059858,1732155,Fail,Decreased,4
48141190,KICUKIRO,Education,JOINT VENTURE,2022,38,M,Master's Degree,2,Venture Capital,0,54306524,151997217,89720136,Success,Increased,4
396694,KAYONZA,Other Service Activities,LIMITED LIABILITY COMPANY,2022,44,M,Bachelor's Degree,6,Family/Friends,2210032,2620377,3106912,3683784,Success,Increased,3
50000000,KAYONZA,Information And Communication,COOPERATIVE,2021,50,F,PhD,4,Family/Friends,47517301,114099472,183109933,205243617,Success,Increased,10
167555,KAMONYI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2020,22,M,Diploma,0,Personal Savings,257819,279097,302132,327068,Success,Increased,1
44177257,KAMONYI,Manufacturing,INDIVIDUAL,2021,43,F,PhD,1,Government Grant,55295279,45033690,53526402,85086077,Success,Increased,5
1215968,KICUKIRO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,43,F,Secondary,6,Personal Savings,930856,849271,774837,706927,Fail,Decreased,2
1423258,KAMONYI,Transportation And Storage,INDIVIDUAL,2022,51,M,Primary,7,Bank Loan,0,4049902,2119915,3684156,Fail,Decreased,1
294714,NGORORERO,Other Service Activities,INDIVIDUAL,2022,42,F,PhD,4,Microfinance,0,641575,759632,1790701,Fail,Increased,2
253521,NYARUGENGE,Financial And Insurance Activities,INDIVIDUAL,2022,45,F,Primary,5,Family/Friends,134168,135721,137292,138881,Fail,Stable,1
50000000,GASABO,"Electricity, Gas And Air Conditioning Supply",PRIVATE CORPORATION,2021,33,M,Bachelor's Degree,0,Business Partner,126581193,230304838,101651515,157436405,Success,Increased,4
50000,KARONGI,Accommodation And Food Service Activities,PRIVATE CORPORATION,2022,40,F,Primary,6,Bank Loan,182853,227411,282828,351749,Success,Increased,2
1642216,MUHANGA,Other Service Activities,PARTNERSHIP,2019,45,M,Bachelor's Degree,7,Bank Loan,2660889,2164454,1760637,1432159,Fail,Decreased,6
1432327,NGOMA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,42,M,Secondary,3,Family/Friends,0,976885,3232005,2514182,Fail,Increased,2
5866822,KICUKIRO,Construction,LIMITED LIABILITY COMPANY,2021,39,F,Bachelor's Degree,2,Personal Savings,31731283,36589960,42192596,48653104,Success,Increased,6
55166,KAMONYI,Other Service Activities,COOPERATIVE,2022,38,F,Diploma,6,Family/Friends,27988,25770,23727,21846,Fail,Decreased,3
18065708,NGORORERO,Transportation And Storage,PRIVATE CORPORATION,2021,47,M,Bachelor's Degree,4,Bank Loan,57067280,41284227,39761552,53642792,Success,Decreased,5
58843,KAYONZA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2023,32,M,None,3,Personal Savings,99951,116220,135138,157135,Success,Increased,1
2758253,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,43,F,Certificate/Diploma,2,Microfinance,0,38301835,29181846,1984200,Success,Decreased,5
3294378,MUHANGA,Administrative And Support Service Activities,PRIVATE CORPORATION,2021,44,M,PhD,4,Bank Loan,100000,3452533,10409051,9482949,Success,Increased,6
95707,BUGESERA,Other Service Activities,INDIVIDUAL,2022,42,M,No Formal Education,0,Venture Capital,0,206404,185253,411426,Fail,Increased,1
1222939,NYANZA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,31,F,Secondary,2,Crowdfunding,0,15881013,13645336,5789685,Fail,Decreased,1
120446,NYAGATARE,Accommodation And Food Service Activities,LIMITED LIABILITY COMPANY,2023,44,M,Primary,11,Family/Friends,53683,58211,63121,68445,Fail,Increased,3
7479242,KICUKIRO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,52,F,PhD,0,Venture Capital,0,15797370,7299769,10270252,Fail,Decreased,3
2059826,MUHANGA,Other Service Activities,LIMITED LIABILITY COMPANY,2023,29,F,Diploma,0,Bank Loan,2069988,2003741,1939614,1877539,Fail,Stable,5
50000000,KAMONYI,Manufacturing,INDIVIDUAL,2021,60,M,Secondary,6,Inheritance,268452337,628823596,237099480,586906716,Success,Increased,5
5615739,NYAMASHEKE,Unclassified,INDIVIDUAL,2021,42,M,Secondary,1,Personal Savings,8814451,8471933,3022817,10360047,Fail,Increased,2
309241,BUGESERA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2023,37,M,Primary,7,Bank Loan,1421222,1737335,2123758,2596131,Success,Increased,4
1150858,GASABO,Motorcycle transport,PRIVATE CORPORATION,2022,31,F,Diploma,0,Government Grant,3210419,3824788,4556727,5428735,Success,Increased,5
1516936,NYARUGENGE,Other Service Activities,INDIVIDUAL,2023,38,M,Bachelor's Degree,4,Personal Savings,4040020,4693940,5453704,6336444,Success,Increased,2
1297662,NGOMA,Transportation And Storage,INDIVIDUAL,2021,21,M,Primary,0,Government Grant,7495808,2825185,8388513,5832656,Fail,Decreased,2
50000000,RUHANGO,Mining And Quarrying,PRIVATE CORPORATION,2022,35,F,Bachelor's Degree,1,Personal Savings,0,243648507,1222926143,382341650,Success,Increased,19
351106,BUGESERA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2023,33,M,Bachelor's Degree,0,Personal Savings,1601288,1867068,2176962,2538292,Success,Increased,3
161292,RUSIZI,Other Service Activities,PARTNERSHIP,2023,36,M,Diploma,0,Microfinance,225531,229206,232941,236737,Fail,Stable,3
249253,RUSIZI,Other Service Activities,INDIVIDUAL,2021,40,M,Master's Degree,0,Personal Savings,98936,81993,67952,56315,Fail,Decreased,1
1658238,NYARUGENGE,Transportation And Storage,INDIVIDUAL,2023,44,F,Master's Degree,10,Family/Friends,7718884,8506863,9375282,10332353,Success,Increased,4
50000000,NYARUGENGE,Construction,PRIVATE CORPORATION,2021,39,M,Certificate/Diploma,5,Crowdfunding,56499487,50469516,50102458,31654296,Success,Decreased,13
50000000,MUHANGA,Education,COOPERATIVE,2022,45,M,Vocational/Technical,2,Inheritance,0,16990541,58941589,93751311,Success,Increased,9
833745,RUSIZI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2023,43,M,Bachelor's Degree,7,Bank Loan,3733246,4474897,5363886,6429482,Success,Increased,6
819846,KAMONYI,Transportation And Storage,PRIVATE CORPORATION,2022,37,M,Master's Degree,6,Personal Savings,5307856,5828038,6399199,7026336,Success,Increased,6
50000000,NGOMA,Real Estate Activities,INDIVIDUAL,2022,30,M,Vocational/Technical,1,Personal Savings,0,221673246,303263134,311832886,Success,Increased,5
269651,NYAGATARE,Financial And Insurance Activities,COOPERATIVE,2022,62,M,Secondary,15,Foreign Investment,152179,124729,102230,83790,Fail,Decreased,1
598353,HUYE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,27,M,Diploma,3,Personal Savings,1537431,1639717,1748808,1865157,Success,Increased,1
50000000,NYAMAGABE,Mining And Quarrying,COOPERATIVE,2022,36,M,Master's Degree,2,Foreign Investment,0,2137515774,3631770914,2602041665,Success,Increased,10
50000000,RUBAVU,Education,PRIVATE CORPORATION,2022,28,F,Secondary,1,Foreign Investment,0,29428170,127995773,113555370,Success,Increased,11
2320166,RUTSIRO,Accommodation And Food Service Activities,INDIVIDUAL,2022,34,F,Primary,0,Venture Capital,0,5066975,10182351,8059115,Fail,Increased,2
1906060,NGORORERO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,43,M,PhD,3,Family/Friends,0,4257200,666528,2371406,Fail,Decreased,2
128534,RUSIZI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,26,M,Primary,4,Venture Capital,0,1281361,703474,755014,Fail,Decreased,1
2327523,GICUMBI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2024,56,M,None,19,Bank Loan,16467203,18818489,21505506,24576191,Success,Increased,6
1411264,GASABO,Other Service Activities,LIMITED LIABILITY COMPANY,2021,25,F,Master's Degree,0,Government Grant,6902745,7934239,9119871,10482675,Success,Increased,7
710358,NYARUGENGE,Other Service Activities,PARTNERSHIP,2023,37,F,Primary,4,Bank Loan,463968,409542,361500,319094,Fail,Decreased,1
50000000,NYABIHU,Unclassified,PRIVATE CORPORATION,2021,42,M,Master's Degree,1,Family/Friends,113386273,136257560,53997908,67293778,Success,Decreased,11
3023602,NYAMAGABE,Human Health And Social Work Activities,PRIVATE CORPORATION,2021,33,F,Primary,0,Family/Friends,5200986,5981493,1,1732911,Success,Decreased,7
50000000,RULINDO,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,PRIVATE CORPORATION,2021,40,M,Vocational/Technical,3,Business Partner,93794185,109226400,252101605,171036256,Success,Increased,11
216426,GASABO,Financial And Insurance Activities,INDIVIDUAL,2022,26,M,Secondary,0,Family/Friends,736860,877503,1044990,1244445,Success,Increased,2
871956,GASABO,Other Service Activities,LIMITED LIABILITY COMPANY,2023,26,F,Master's Degree,0,Microfinance,3669801,4112791,4609255,5165649,Success,Increased,8
1370905,NGOMA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2018,38,F,Secondary,8,Bank Loan,12405534,13579219,14863946,16270221,Success,Increased,7
574699,GASABO,Other Service Activities,SOLE PROPRIETORSHIP,2024,52,M,Secondary,15,Bank Loan,997255,1230767,1518957,1874628,Success,Increased,1
14365249,RUTSIRO,Education,JOINT VENTURE,2021,51,F,Master's Degree,3,Crowdfunding,23844158,24255116,8050340,55426945,Success,Increased,3
13535112,KICUKIRO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,46,F,Secondary,6,Venture Capital,71741290,10011441,4731610,15190432,Success,Decreased,3
2115462,KARONGI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2023,30,F,Primary,1,Crowdfunding,7940849,9412474,11156825,13224445,Success,Increased,2
49844849,RUBAVU,Human Health And Social Work Activities,PRIVATE CORPORATION,2022,68,M,Bachelor's Degree,6,Business Partner,0,156002898,86139046,72400805,Success,Decreased,11
4233449,GASABO,Other Service Activities,INDIVIDUAL,2021,60,M,Master's Degree,6,Bank Loan,2020000,9068500,13792000,15053131,Success,Increased,2
207379,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PARTNERSHIP,2022,22,F,Diploma,1,Personal Savings,186813,189511,192248,195024,Fail,Stable,2
1284874,KAYONZA,"Agriculture, Forestry And Fishing",JOINT VENTURE,2022,29,F,Secondary,2,Family/Friends,0,983899,1586141,3419909,Fail,Increased,3
50000000,RULINDO,Financial And Insurance Activities,PRIVATE CORPORATION,2021,43,M,Vocational/Technical,6,Venture Capital,420651238,561483189,288255313,199980572,Success,Decreased,9
50000000,GASABO,Transportation And Storage,PRIVATE CORPORATION,2021,43,F,Secondary,1,Crowdfunding,4503814,11484482,104236434,53146975,Success,Increased,13
167138,RWAMAGANA,Unclassified,PARTNERSHIP,2022,37,M,Secondary,1,Bank Loan,122570,100074,81707,66711,Fail,Decreased,2
673273,GICUMBI,Manufacturing,PRIVATE CORPORATION,2024,39,F,Secondary,7,Personal Savings,355350,299101,251756,211905,Fail,Decreased,2
543434,KAYONZA,Activities Of Extraterritorial Organizations And Bodies,INDIVIDUAL,2021,30,M,Bachelor's Degree,4,Microfinance,2484392,3072950,1936632,2724866,Fail,Increased,4
50000000,RWAMAGANA,Financial And Insurance Activities,COOPERATIVE,2021,39,M,Secondary,2,Venture Capital,199032114,282651131,287286216,741866810,Success,Increased,8
598317,KICUKIRO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,41,M,Secondary,0,Personal Savings,1722937,1862403,2013159,2176118,Success,Increased,3
442103,NGORORERO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2020,25,M,Diploma,5,Family/Friends,192351,160262,133526,111250,Fail,Decreased,3
344773,GASABO,"Agriculture, Forestry And Fishing",INDIVIDUAL,2022,49,F,Master's Degree,13,Microfinance,1404540,1649075,1936184,2273280,Success,Increased,2
202320,BURERA,"Electricity, Gas And Air Conditioning Supply",INDIVIDUAL,2021,45,M,No Formal Education,0,Family/Friends,1346079,300548,1472926,555703,Fail,Decreased,1
50000000,MUSANZE,Real Estate Activities,JOINT VENTURE,2021,21,M,Master's Degree,0,Bank Loan,295887817,401371342,624679841,159843170,Success,Decreased,4
1554177,RUBAVU,Financial And Insurance Activities,PRIVATE CORPORATION,2023,34,F,Bachelor's Degree,1,Bank Loan,2078494,1723036,1428368,1184093,Fail,Decreased,2
78965,GICUMBI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2022,44,M,Bachelor's Degree,5,Personal Savings,113699,108484,103509,98762,Fail,Stable,5
630102,GICUMBI,Other Service Activities,INDIVIDUAL,2020,22,M,Secondary,2,Personal Savings,507584,412866,335823,273157,Fail,Decreased,2
701757,KICUKIRO,Other Service Activities,PARTNERSHIP,2021,61,M,Secondary,12,Foreign Investment,1089362,1242320,1416755,1615682,Success,Increased,1
50000000,GAKENKE,Real Estate Activities,JOINT VENTURE,2021,48,M,Primary,4,Crowdfunding,876585810,435580096,521530996,485643670,Success,Decreased,9
604454,GISAGARA,Administrative And Support Service Activities,INDIVIDUAL,2022,30,F,Master's Degree,0,Inheritance,0,3459198,690982,2714982,Fail,Decreased,3
50000000,RUSIZI,Financial And Insurance Activities,COOPERATIVE,2022,32,M,PhD,4,Government Grant,0,1043792780,359115239,779744589,Success,Decreased,10
50000,NGOMA,Transportation And Storage,INDIVIDUAL,2023,41,M,Bachelor's Degree,12,Bank Loan,83981,85483,87012,88568,Fail,Stable,4
2554101,KIREHE,Transportation And Storage,INDIVIDUAL,2022,50,M,Bachelor's Degree,4,Foreign Investment,0,5180863,6856910,9090929,Fail,Increased,1
226509,GICUMBI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,35,M,Primary,1,Inheritance,4009263,5227499,5565787,464500,Fail,Decreased,4
17449351,KAYONZA,Accommodation And Food Service Activities,INDIVIDUAL,2022,54,F,Secondary,2,Government Grant,0,182056672,220929481,47864937,Success,Decreased,2
881137,KICUKIRO,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,INDIVIDUAL,2022,41,M,Primary,2,Microfinance,0,1699603,1622525,1360489,Fail,Decreased,1
1693918,RWAMAGANA,Other Service Activities,INDIVIDUAL,2022,47,F,Diploma,8,Foreign Investment,1152174,1177681,1203753,1230402,Fail,Stable,6
20176132,NGOMA,"Water Supply, Gas And Remediation Services",COOPERATIVE,2021,38,M,Bachelor's Degree,3,Personal Savings,6394499,50306608,64682296,29249500,Success,Increased,6
95045,NYARUGENGE,Transportation And Storage,PRIVATE CORPORATION,2018,45,M,Primary,7,Personal Savings,68605,65746,63006,60380,Fail,Stable,1
50000,GASABO,Other Service Activities,INDIVIDUAL,2023,34,M,Secondary,4,Personal Savings,186220,229247,282216,347424,Success,Increased,2
50000000,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,24,M,Certificate/Diploma,0,Microfinance,375816464,1524496756,467162191,1050972254,Success,Increased,13
20917156,KIREHE,Human Health And Social Work Activities,PRIVATE CORPORATION,2021,45,M,Vocational/Technical,0,Foreign Investment,24758357,68376759,50713267,85414657,Success,Increased,3
320758,NYARUGENGE,Financial And Insurance Activities,INDIVIDUAL,2022,30,F,Diploma,3,Bank Loan,444801,551955,684923,849923,Success,Increased,1
1397088,NYARUGENGE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2019,34,F,Bachelor's Degree,10,Personal Savings,15399725,17971573,20972936,24475545,Success,Increased,10
50000,RUSIZI,Other Service Activities,INDIVIDUAL,2022,53,F,PhD,7,Inheritance,0,357841,337836,281517,Fail,Decreased,2
50000000,KAMONYI,Mining And Quarrying,JOINT VENTURE,2021,46,F,Secondary,0,Microfinance,2808888081,1640742966,1495007261,4729914689,Success,Increased,10
282567,KARONGI,"Professional, Scientific And Technical Activities",INDIVIDUAL,2021,48,F,Secondary,19,Angel Investment,754646,823536,898715,980757,Success,Increased,2
347186,RULINDO,Other Service Activities,INDIVIDUAL,2021,42,F,Vocational/Technical,3,Government Grant,242083,270424,477558,850000,Fail,Increased,1
224093,GICUMBI,Other Service Activities,LIMITED LIABILITY COMPANY,2021,46,M,Primary,14,Bank Loan,170612,160660,151288,142463,Fail,Decreased,1
331849,NYARUGENGE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,COOPERATIVE,2024,25,M,Diploma,5,Personal Savings,1149177,1211054,1276263,1344983,Success,Increased,2
200660,HUYE,Other Service Activities,PRIVATE CORPORATION,2019,27,F,Primary,0,Family/Friends,295546,327641,363222,402667,Success,Increased,1
1507831,NGORORERO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,37,F,Diploma,10,Personal Savings,9040183,11185574,13840104,17124600,Success,Increased,3
63254,KAMONYI,Other Service Activities,PRIVATE CORPORATION,2019,47,M,Diploma,12,Personal Savings,294351,347248,409651,483268,Success,Increased,2
15344566,NYARUGENGE,Transportation And Storage,INDIVIDUAL,2022,45,M,PhD,2,Personal Savings,0,10113040,14592076,17673042,Success,Increased,3
50000000,KIREHE,Public Administration And Defence; Compulsory Social Security,JOINT VENTURE,2022,44,M,PhD,2,Business Partner,0,72322707,155446978,210082355,Success,Increased,10
3768571,GISAGARA,Transportation And Storage,INDIVIDUAL,2021,45,M,Secondary,2,Government Grant,11274114,3944116,4658200,10374374,Fail,Decreased,1
50000000,NYARUGENGE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,40,F,PhD,4,Inheritance,2351695,436632882,805844578,697353592,Success,Increased,3
