business_capital,business_location,business_sector,entity_type,business_registration_year,owner_age,owner_gender,owner_education_level,owner_business_experience,capital_source,turnover_2021,turnover_2022,turnover_2023,turnover_2024,business_status,turnover_growth,number_of_employees,employment_2021,employment_2022,employment_2023,employment_2024,employment_growth
138284,KICUKIRO,Other Service Activities,PARTNERSHIP,2021,26,F,Bachelor's Degree,6,Personal Savings,437014,470537,506632,545496,Success,Increased,2,2,2,2,2,Stable
50000000,GAKENKE,Manufacturing,COOPERATIVE,2022,22,F,Vocational/Technical,0,Foreign Investment,0,272955529,516728869,247854426,Success,Decreased,3,0,3,3,3,Stable
19689301,RUSIZI,"Water Supply, Gas And Remediation Services",INDIVIDUAL,2021,47,M,Vocational/Technical,6,Crowdfunding,17397448,27191965,17760530,33140693,Success,Increased,2,2,2,2,2,Stable
4667765,NYAGATARE,Financial And Insurance Activities,PRIVATE CORPORATION,2021,22,M,Bachelor's Degree,1,Personal Savings,13823536,16829023,20487958,24942411,Success,Increased,5,5,5,5,6,Increased
1106168,NGOMA,"Agriculture, Forestry And Fishing",COOPERATIVE,2022,35,M,Secondary,6,Crowdfunding,0,9008235,6276378,2827840,Fail,Decreased,1,0,1,1,1,Stable
3817593,NYABIHU,"Arts, Entertainment And Recreation",COOPERATIVE,2021,38,M,Certificate/Diploma,2,Personal Savings,2437444,4702640,1520175,4381820,Success,Increased,6,6,6,7,8,Increased
2301826,RUBAVU,Other Service Activities,INDIVIDUAL,2022,27,F,Diploma,5,Personal Savings,1581953,1327128,1113350,934008,Fail,Decreased,1,0,1,1,1,Stable
586635,GASABO,Financial And Insurance Activities,COOPERATIVE,2022,44,F,Bachelor's Degree,12,Bank Loan,810363,998603,1230569,1516419,Success,Increased,2,0,2,2,2,Stable
24951668,HUYE,Real Estate Activities,COOPERATIVE,2021,21,F,Primary,0,Venture Capital,9449878,110695905,26301477,51412393,Success,Increased,4,4,4,4,5,Increased
403417,HUYE,Other Service Activities,INDIVIDUAL,2021,29,M,Primary,3,Personal Savings,942213,1116602,1323268,1568185,Success,Increased,3,3,3,3,3,Stable
106097,NYARUGENGE,Other Service Activities,PRIVATE CORPORATION,2022,43,F,Secondary,7,Microfinance,104243,94986,86551,78865,Fail,Decreased,3,0,3,2,1,Decreased
50000000,MUSANZE,Real Estate Activities,INDIVIDUAL,2021,37,F,Bachelor's Degree,3,Bank Loan,400353340,551085873,368224540,839907983,Success,Increased,7,7,8,9,10,Increased
7849033,NYARUGENGE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,49,M,Primary,1,Foreign Investment,7502699,20873178,7920903,28405639,Fail,Increased,1,1,1,1,1,Stable
1308509,RWAMAGANA,Accommodation And Food Service Activities,PRIVATE CORPORATION,2022,39,M,Bachelor's Degree,5,Microfinance,7035630,7881593,8829274,9890904,Success,Increased,6,0,6,7,8,Increased
50000,NYARUGENGE,"Agriculture, Forestry And Fishing",PRIVATE CORPORATION,2021,43,M,Diploma,7,Family/Friends,241589,264639,289889,317548,Success,Increased,3,3,4,4,4,Increased
6747926,GASABO,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,COOPERATIVE,2021,49,F,Vocational/Technical,6,Personal Savings,30724792,23397930,11355596,14527514,Success,Decreased,2,2,2,2,2,Stable
141476,GATSIBO,Other Service Activities,INDIVIDUAL,2021,45,M,Bachelor's Degree,0,Business Partner,429906,531672,271964,985203,Fail,Increased,1,1,1,1,1,Stable
50000000,KAYONZA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,JOINT VENTURE,2021,40,M,Bachelor's Degree,4,Business Partner,539281056,202609130,157793005,603793781,Success,Increased,5,5,6,7,8,Increased
394297,KAYONZA,Transportation And Storage,INDIVIDUAL,2022,24,M,Secondary,0,Family/Friends,618527,546491,482845,426611,Fail,Decreased,2,0,2,1,1,Decreased
50000000,RUHANGO,Mining And Quarrying,PRIVATE CORPORATION,2022,35,F,Bachelor's Degree,1,Personal Savings,0,243648507,1222926143,382341650,Success,Increased,19,0,19,21,23,Increased
491033,HUYE,Other Service Activities,PRIVATE CORPORATION,2021,53,F,Primary,18,Bank Loan,1774580,1938222,2116954,2312168,Success,Increased,4,4,4,4,4,Stable
50000000,NYAMAGABE,Financial And Insurance Activities,INDIVIDUAL,2021,45,F,Primary,5,Inheritance,495158434,337624401,791951519,1160384901,Success,Increased,6,6,6,7,7,Increased
2138785,KICUKIRO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,49,M,Master's Degree,16,Family/Friends,17606135,20277924,23355166,26899390,Success,Increased,6,6,7,8,9,Increased
11425422,NYANZA,Transportation And Storage,INDIVIDUAL,2021,39,M,Primary,4,Personal Savings,6920807,14628206,15398088,11190740,Success,Increased,7,7,8,8,8,Increased
50000000,GASABO,Transportation And Storage,INDIVIDUAL,2022,57,F,Bachelor's Degree,1,Microfinance,0,33047035,99970790,57262386,Success,Increased,4,0,4,5,6,Increased
9319685,GASABO,Accommodation And Food Service Activities,PRIVATE CORPORATION,2021,48,F,Bachelor's Degree,5,Inheritance,53589682,68604292,1500000,8266250,Success,Decreased,9,9,8,7,6,Decreased
694305,KICUKIRO,Transportation And Storage,INDIVIDUAL,2021,21,M,Secondary,0,Inheritance,2310844,3875350,4156486,1941186,Fail,Decreased,2,2,2,2,1,Decreased
15373472,MUSANZE,Accommodation And Food Service Activities,PRIVATE CORPORATION,2021,49,F,PhD,4,Crowdfunding,113253631,147591948,149729428,4815583,Success,Decreased,19,19,17,15,12,Decreased
50000000,BURERA,Real Estate Activities,COOPERATIVE,2021,41,M,Bachelor's Degree,7,Business Partner,273544532,1106658912,132064049,439764164,Success,Increased,5,5,5,6,7,Increased
523762,NYABIHU,Other Service Activities,INDIVIDUAL,2022,70,M,Primary,3,Bank Loan,0,1108624,660869,1837327,Fail,Increased,1,0,1,1,1,Stable
4066555,KARONGI,Other Service Activities,PRIVATE CORPORATION,2022,27,M,Bachelor's Degree,0,Microfinance,41336545,44392195,47673723,51197825,Success,Increased,8,0,8,9,10,Increased
1429995,NYARUGENGE,Accommodation And Food Service Activities,COOPERATIVE,2021,44,F,PhD,10,Personal Savings,5657495,6581682,7656841,8907634,Success,Increased,3,3,3,3,3,Stable
58840,KARONGI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,29,M,Bachelor's Degree,0,Family/Friends,63546,51483,41710,33792,Fail,Decreased,2,2,2,1,1,Decreased
257423,KAMONYI,Accommodation And Food Service Activities,INDIVIDUAL,2021,29,F,Primary,1,Personal Savings,323107,277323,238026,204298,Fail,Decreased,4,4,3,2,1,Decreased
50000000,BURERA,"Arts, Entertainment And Recreation",COOPERATIVE,2022,50,F,Bachelor's Degree,1,Crowdfunding,0,137371014,133669783,231072742,Success,Increased,10,0,10,10,10,Stable
314852,NGOMA,Financial And Insurance Activities,INDIVIDUAL,2022,47,M,Primary,6,Personal Savings,448502,460861,473561,486611,Fail,Stable,3,0,3,2,1,Decreased
14295458,NYARUGENGE,Manufacturing,PRIVATE CORPORATION,2022,21,F,PhD,2,Inheritance,0,19015268,18379139,17249025,Success,Decreased,1,0,1,1,1,Stable
3587649,NGOMA,Public Administration And Defence; Compulsory Social Security,INDIVIDUAL,2022,36,F,Bachelor's Degree,1,Business Partner,0,11384641,30801681,11081778,Fail,Decreased,2,0,2,2,2,Stable
50000000,RUHANGO,Manufacturing,COOPERATIVE,2022,31,M,Bachelor's Degree,2,Personal Savings,0,265850638,230795436,546236906,Success,Increased,8,0,8,9,9,Increased
62170,HUYE,Other Service Activities,INDIVIDUAL,2021,55,M,Master's Degree,3,Personal Savings,39948,75637,170000,367000,Fail,Increased,1,1,1,1,1,Stable
1140223,NYARUGENGE,Other Service Activities,INDIVIDUAL,2022,51,F,Secondary,7,Bank Loan,453220,388942,333780,286441,Fail,Decreased,2,0,2,1,1,Decreased
1288530,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2022,24,M,Master's Degree,0,Bank Loan,2037377,2164261,2299047,2442227,Fail,Increased,6,0,6,4,3,Decreased
50000000,MUSANZE,Accommodation And Food Service Activities,JOINT VENTURE,2021,40,M,PhD,1,Personal Savings,216982026,263785726,149212612,90151792,Success,Decreased,5,5,5,4,3,Decreased
11412359,BUGESERA,Construction,INDIVIDUAL,2022,21,F,Master's Degree,1,Business Partner,0,98323725,37030144,41020207,Success,Decreased,2,0,2,2,2,Stable
520625,HUYE,Other Service Activities,INDIVIDUAL,2021,42,F,Secondary,9,Microfinance,407638,393123,379124,365624,Fail,Stable,3,3,2,2,2,Decreased
50000000,GICUMBI,Manufacturing,COOPERATIVE,2021,23,M,Bachelor's Degree,0,Venture Capital,68421030,42613655,52100831,66365859,Success,Decreased,8,8,7,7,7,Decreased
50000,NYARUGENGE,Manufacturing,PRIVATE CORPORATION,2022,26,M,Vocational/Technical,1,Inheritance,0,36460653,357011633,1,Fail,Decreased,3,0,3,2,1,Decreased
2478552,MUHANGA,Other Service Activities,PRIVATE CORPORATION,2022,32,M,Primary,1,Bank Loan,0,6276237,12708900,12343907,Fail,Increased,3,0,3,2,2,Decreased
253958,NYAGATARE,Other Service Activities,LIMITED LIABILITY COMPANY,2022,30,M,Master's Degree,0,Personal Savings,336630,404037,484942,582048,Success,Increased,1,0,1,1,1,Stable
1100020,RWAMAGANA,Administrative And Support Service Activities,PRIVATE CORPORATION,2022,42,M,PhD,4,Microfinance,3574434,4248343,5049308,6001284,Success,Increased,3,0,3,4,4,Increased
127200,NYAMASHEKE,Financial And Insurance Activities,INDIVIDUAL,2022,25,M,PhD,0,Bank Loan,111234,96629,83941,72919,Fail,Decreased,2,0,2,1,1,Decreased
50000000,GASABO,"Water Supply, Gas And Remediation Services",COOPERATIVE,2021,42,M,Vocational/Technical,1,Family/Friends,112547947,143799246,261866868,134788605,Success,Increased,6,6,6,7,8,Increased
323375,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,COOPERATIVE,2022,22,F,Secondary,0,Family/Friends,902036,1101226,1344402,1641277,Success,Increased,2,0,2,2,2,Stable
37089551,NYAMAGABE,Real Estate Activities,COOPERATIVE,2021,51,M,Vocational/Technical,5,Inheritance,113113319,43626922,88893279,162499666,Success,Increased,3,3,4,4,5,Increased
50000000,NYABIHU,Real Estate Activities,PRIVATE CORPORATION,2021,40,M,Vocational/Technical,7,Government Grant,1640816826,720311903,429995639,1000130702,Success,Decreased,3,3,3,3,2,Decreased
250291,NGORORERO,Education,INDIVIDUAL,2021,41,F,Bachelor's Degree,7,Business Partner,4515254,1540558,3205243,2538081,Fail,Decreased,1,1,1,1,1,Stable
414247,MUSANZE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2021,66,F,Diploma,12,Bank Loan,949305,1035144,1128745,1230810,Success,Increased,2,2,2,2,2,Stable
1524360,RUSIZI,Public Administration And Defence; Compulsory Social Security,JOINT VENTURE,2021,24,M,Master's Degree,0,Venture Capital,7711252,18804346,9332865,3131119,Fail,Decreased,2,2,2,2,1,Decreased
694136,RWAMAGANA,Other Service Activities,PARTNERSHIP,2022,27,M,Bachelor's Degree,2,Bank Loan,362460,314900,273580,237682,Fail,Decreased,2,0,2,2,2,Stable
46376461,GATSIBO,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,PRIVATE CORPORATION,2021,30,M,Vocational/Technical,0,Bank Loan,197541994,141961760,492224535,254906677,Success,Increased,7,7,8,9,10,Increased
2740717,NYARUGENGE,Financial And Insurance Activities,LIMITED LIABILITY COMPANY,2021,38,M,Diploma,12,Government Grant,10331307,12325323,14704199,17542215,Success,Increased,3,3,4,4,5,Increased
50000000,NYAGATARE,Public Administration And Defence; Compulsory Social Security,COOPERATIVE,2022,48,M,Secondary,0,Business Partner,0,258516111,126450863,157517308,Success,Decreased,7,0,7,6,5,Decreased
219913,KIREHE,Education,LIMITED LIABILITY COMPANY,2021,33,F,Primary,1,Bank Loan,156747,147681,139139,131091,Fail,Decreased,4,4,3,2,1,Decreased
50000000,RUSIZI,Real Estate Activities,COOPERATIVE,2021,29,M,Secondary,0,Inheritance,90774117,24226021,153980924,125633241,Success,Increased,5,5,6,6,6,Increased
50000000,NYARUGENGE,Mining And Quarrying,PRIVATE CORPORATION,2022,41,M,Secondary,6,Family/Friends,0,2983109334,845958402,1306063061,Success,Decreased,7,0,7,7,6,Decreased
50000000,RUBAVU,Transportation And Storage,PRIVATE CORPORATION,2021,29,M,Vocational/Technical,2,Business Partner,331380710,364177065,765868818,203271721,Success,Decreased,7,7,6,6,5,Decreased
422486,NYAMASHEKE,Manufacturing,LIMITED LIABILITY COMPANY,2021,66,F,Primary,12,Bank Loan,1570949,1838032,2150523,2516142,Success,Increased,1,1,1,1,1,Stable
1246925,KIREHE,Other Service Activities,INDIVIDUAL,2021,61,M,Primary,0,Family/Friends,3029737,15993617,14103250,6553263,Fail,Increased,2,2,2,2,1,Decreased
159346,BUGESERA,Human Health And Social Work Activities,INDIVIDUAL,2022,28,F,Secondary,1,Personal Savings,0,1271190,837187,1184167,Fail,Decreased,1,0,1,1,1,Stable
39342916,RUTSIRO,Information And Communication,JOINT VENTURE,2021,52,M,Bachelor's Degree,3,Crowdfunding,22436739,13097221,19311144,27066474,Success,Increased,5,5,5,5,6,Increased
50000000,BUGESERA,Manufacturing,PRIVATE CORPORATION,2021,28,M,Secondary,0,Foreign Investment,546203313,741849317,1010028869,317543466,Success,Decreased,7,7,6,6,5,Decreased
68592,GICUMBI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,36,F,Primary,0,Personal Savings,19381,18393,17455,16565,Fail,Stable,1,0,1,1,1,Stable
434435,GASABO,Real Estate Activities,PRIVATE CORPORATION,2022,50,M,Secondary,1,Government Grant,0,317050916,393977736,1000000,Fail,Decreased,3,0,3,2,1,Decreased
237229,KAYONZA,"Water Supply, Gas And Remediation Services",INDIVIDUAL,2021,21,M,Bachelor's Degree,0,Venture Capital,504094,1481949,682393,738997,Fail,Increased,1,1,1,1,1,Stable
18556523,RUSIZI,Unclassified,COOPERATIVE,2021,52,M,Bachelor's Degree,0,Personal Savings,91114386,51392550,72123437,20108683,Success,Decreased,8,8,7,6,5,Decreased
29567559,GISAGARA,Manufacturing,COOPERATIVE,2022,65,F,Primary,0,Venture Capital,0,44249292,65724700,56658368,Success,Increased,3,0,3,3,3,Stable
151713,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,53,M,Secondary,15,Family/Friends,121503,114882,108622,102703,Fail,Decreased,1,1,1,1,1,Stable
4096788,NYARUGENGE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,44,M,PhD,2,Personal Savings,8817000,2502034,16257568,8062222,Fail,Decreased,3,3,2,2,1,Decreased
278670,BUGESERA,Other Service Activities,INDIVIDUAL,2021,43,F,No Formal Education,6,Bank Loan,1366598,2816024,1550228,1425213,Fail,Increased,1,1,1,1,1,Stable
197128,KIREHE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,34,F,Vocational/Technical,5,Family/Friends,0,14250356,1500,600000,Fail,Decreased,2,0,2,2,1,Decreased
50000000,KAYONZA,Financial And Insurance Activities,COOPERATIVE,2021,52,M,Secondary,2,Foreign Investment,1496068413,1011119081,630720820,882629102,Success,Decreased,15,15,14,13,11,Decreased
97655,KIREHE,Other Service Activities,INDIVIDUAL,2022,60,M,Diploma,11,Personal Savings,144486,130231,117382,105801,Fail,Decreased,3,0,3,2,1,Decreased
1284664,RUBAVU,Other Service Activities,PRIVATE CORPORATION,2022,23,M,Secondary,1,Bank Loan,9820603,11151601,12662991,14379222,Success,Increased,6,0,6,6,6,Stable
4161357,RULINDO,Other Service Activities,PRIVATE CORPORATION,2021,25,M,Vocational/Technical,0,Venture Capital,2042123,5478596,2678160,8933230,Success,Increased,7,7,8,9,10,Increased
2268637,BUGESERA,Unclassified,JOINT VENTURE,2021,29,F,Bachelor's Degree,0,Family/Friends,6308806,6025518,8031795,3067423,Fail,Decreased,2,2,1,1,1,Decreased
133289,NYARUGENGE,Other Service Activities,PRIVATE CORPORATION,2022,31,F,Secondary,3,Personal Savings,826976,1031155,1285746,1603195,Success,Increased,3,0,3,4,5,Increased
13411841,NYARUGENGE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,21,F,Secondary,1,Government Grant,36819969,30787621,12994166,33878876,Success,Decreased,3,3,3,3,3,Stable
19532768,GASABO,Education,JOINT VENTURE,2021,52,M,Vocational/Technical,2,Foreign Investment,51931827,32314522,46169156,38681951,Success,Decreased,5,5,5,4,4,Decreased
50000000,NYARUGENGE,Transportation And Storage,PRIVATE CORPORATION,2022,47,F,Vocational/Technical,7,Bank Loan,0,259560838,245076105,574493123,Success,Increased,7,0,7,8,8,Increased
5156188,HUYE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,44,M,Certificate/Diploma,4,Government Grant,5425282,2000000,2000000,12549929,Success,Increased,5,5,5,5,6,Increased
1264843,RWAMAGANA,Activities of Mobile Money Agents,LIMITED LIABILITY COMPANY,2022,35,M,Bachelor's Degree,10,Personal Savings,3509334,3949272,4444362,5001518,Success,Increased,3,0,3,3,3,Stable
50000000,NYAMASHEKE,Financial And Insurance Activities,INDIVIDUAL,2021,40,F,Bachelor's Degree,0,Government Grant,73326091,172366759,115668669,393740774,Success,Increased,10,10,11,12,12,Increased
185956,KIREHE,Accommodation And Food Service Activities,INDIVIDUAL,2022,47,F,Diploma,5,Microfinance,422142,461530,504594,551676,Success,Increased,1,0,1,1,1,Stable
2034235,KARONGI,Human Health And Social Work Activities,JOINT VENTURE,2021,21,M,Secondary,0,Foreign Investment,14237252,22882844,12564248,4396551,Fail,Decreased,2,2,2,1,1,Decreased
155674,RUSIZI,Manufacturing,PRIVATE CORPORATION,2021,23,M,Diploma,6,Family/Friends,227584,187826,155014,127934,Fail,Decreased,4,4,3,2,1,Decreased
291952,HUYE,Other Service Activities,INDIVIDUAL,2022,68,M,Certificate/Diploma,7,Crowdfunding,0,736633,1152811,1591309,Fail,Increased,1,0,1,1,1,Stable
1088029,NYAMASHEKE,"Arts, Entertainment And Recreation",INDIVIDUAL,2021,42,M,PhD,3,Microfinance,1651891,4660530,2655280,2849730,Fail,Increased,1,1,1,1,1,Stable
6293245,KICUKIRO,Other Service Activities,LIMITED LIABILITY COMPANY,2021,31,M,Bachelor's Degree,6,Bank Loan,18234457,17611038,17008933,16427413,Fail,Stable,11,11,10,7,5,Decreased
26117938,NYARUGENGE,Unclassified,PRIVATE CORPORATION,2021,39,M,Certificate/Diploma,5,Crowdfunding,500000,16314290,28362200,34424261,Success,Increased,5,5,6,7,8,Increased
594450,NYAGATARE,Other Service Activities,LIMITED LIABILITY COMPANY,2022,29,F,Bachelor's Degree,4,Bank Loan,976237,981116,986020,990948,Fail,Stable,3,0,3,2,1,Decreased
50000000,RUBAVU,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,JOINT VENTURE,2022,53,F,Vocational/Technical,3,Family/Friends,0,352715711,271368885,312526002,Success,Decreased,4,0,4,4,4,Stable
50000000,RWAMAGANA,Transportation And Storage,JOINT VENTURE,2021,34,F,Certificate/Diploma,1,Foreign Investment,34961210,25319518,98961982,59874856,Success,Increased,6,6,7,8,9,Increased
21929015,GASABO,Transportation And Storage,INDIVIDUAL,2022,45,F,Certificate/Diploma,3,Personal Savings,0,23533530,24706211,23291804,Success,Decreased,4,0,4,4,3,Decreased
2324943,RWAMAGANA,Other Service Activities,INDIVIDUAL,2022,24,M,Primary,3,Family/Friends,1608971,1488898,1377786,1274966,Fail,Decreased,3,0,3,2,2,Decreased
50000000,GASABO,Information And Communication,JOINT VENTURE,2021,24,M,Bachelor's Degree,2,Government Grant,25718780,44645116,64827498,65821576,Success,Increased,5,5,6,7,8,Increased
50000,NYANZA,Transportation And Storage,INDIVIDUAL,2021,33,F,Master's Degree,0,Business Partner,1,1,1,77521,Fail,Increased,1,1,1,1,1,Stable
318031,GICUMBI,"Agriculture, Forestry And Fishing",INDIVIDUAL,2021,51,F,Diploma,3,Family/Friends,996593,1108208,1232324,1370340,Success,Increased,2,2,2,2,2,Stable
440456,GASABO,Transportation And Storage,LIMITED LIABILITY COMPANY,2021,41,M,Diploma,6,Crowdfunding,1687468,2046461,2481827,3009813,Success,Increased,2,2,2,2,2,Stable
1184760,MUHANGA,"Agriculture, Forestry And Fishing",COOPERATIVE,2021,51,M,PhD,3,Government Grant,1577511,1460351,2471044,4413321,Fail,Increased,2,2,2,2,1,Decreased
50000,BUGESERA,Other Service Activities,INDIVIDUAL,2022,27,F,Certificate/Diploma,4,Foreign Investment,0,329461,242415,271921,Fail,Decreased,1,0,1,1,1,Stable
1007791,MUHANGA,Other Service Activities,PRIVATE CORPORATION,2022,26,F,Bachelor's Degree,3,Microfinance,5367984,5928488,6547518,7231184,Success,Increased,4,0,4,4,5,Increased
1986248,NYANZA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,JOINT VENTURE,2021,34,M,Secondary,2,Crowdfunding,7014050,9387807,15995104,12290314,Fail,Increased,2,2,2,2,1,Decreased
3869893,NYARUGENGE,"Arts, Entertainment And Recreation",PRIVATE CORPORATION,2021,45,F,PhD,4,Personal Savings,37976662,56731832,66606134,8351883,Fail,Decreased,3,3,2,2,1,Decreased
929094,KICUKIRO,Transportation And Storage,LIMITED LIABILITY COMPANY,2021,22,F,Secondary,0,Personal Savings,3331195,3969434,4729956,5636190,Success,Increased,6,6,7,8,9,Increased
6882295,GISAGARA,Accommodation And Food Service Activities,INDIVIDUAL,2022,32,M,Primary,3,Microfinance,0,16340091,100000,11903995,Fail,Decreased,2,0,2,1,1,Decreased
2748344,HUYE,Motorcycle transport,LIMITED LIABILITY COMPANY,2022,34,F,Master's Degree,5,Personal Savings,7671300,8067396,8483944,8922000,Success,Increased,1,0,1,1,1,Stable
618629,NYAGATARE,Unclassified,INDIVIDUAL,2021,49,M,Bachelor's Degree,1,Bank Loan,10711746,10418082,6565119,8295452,Success,Decreased,2,2,2,1,1,Decreased
3146527,NYAMASHEKE,Other Service Activities,PARTNERSHIP,2022,46,M,Bachelor's Degree,13,Personal Savings,6374114,6972746,7627599,8343953,Success,Increased,1,0,1,1,1,Stable
338226,NYAGATARE,Other Service Activities,PRIVATE CORPORATION,2021,22,M,Secondary,0,Bank Loan,283234,241193,205392,174905,Fail,Decreased,3,3,2,1,1,Decreased
50000,NYARUGENGE,Other Service Activities,LIMITED LIABILITY COMPANY,2022,44,F,Diploma,6,Personal Savings,102616,126660,156338,192970,Success,Increased,1,0,1,1,1,Stable
50000000,NGOMA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,26,F,Master's Degree,1,Venture Capital,0,79067911,110913189,211359688,Success,Increased,6,0,6,7,7,Increased
566034,MUSANZE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,29,M,Primary,0,Bank Loan,278868,277570,276278,274992,Fail,Stable,1,1,1,1,1,Stable
4501953,GASABO,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,2022,26,F,Vocational/Technical,4,Government Grant,0,3281568,40991172,2291543,Success,Decreased,7,0,7,6,5,Decreased
15974875,RULINDO,Transportation And Storage,INDIVIDUAL,2022,40,M,Bachelor's Degree,5,Inheritance,0,25570854,4449841,22100960,Success,Decreased,2,0,2,2,2,Stable
192240,BUGESERA,Motorcycle transport,PRIVATE CORPORATION,2022,42,F,Diploma,2,Family/Friends,136575,125177,114730,105155,Fail,Decreased,3,0,3,2,1,Decreased
49224476,RWAMAGANA,Real Estate Activities,JOINT VENTURE,2021,56,M,PhD,7,Government Grant,63601043,111123354,120534574,104450216,Success,Increased,5,5,6,6,6,Increased
29695493,GISAGARA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,59,F,Vocational/Technical,0,Family/Friends,0,13504598,34972331,46361246,Success,Increased,3,0,3,3,3,Stable
